tournament_id,tournament_name,stage_number,stage_name,group_name,position,team_id,team_name,team_code,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,1,group stage,Group A,3,dfb099cc-e7ea-5e4f-b492-bdbf6e8e179b,Denmark,DNK,3,1,1,1,6,4,2,3,TRUE
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,1,group stage,Group A,4,11240419-821b-5fbb-bf15-4906f40e3951,New Zealand,NZL,3,0,0,3,1,11,-10,0,FALSE
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,1,group stage,Group B,1,10913c23-6023-563d-94df-9b4fb66c3432,United States,USA,3,3,0,0,11,2,9,6,TRUE
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,1,group stage,Group B,2,3611e724-8c08-5f63-b63d-e1cad6af784c,Sweden,SWE,3,2,0,1,12,3,9,4,TRUE
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,1,group stage,Group B,3,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,3,1,0,2,1,7,-6,2,FALSE
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,1,group stage,Group B,4,230373b7-3a16-506a-b5f6-acc37d7e801d,Japan,JPN,3,0,0,3,0,12,-12,0,FALSE
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,1,group stage,Group C,1,eff0a856-a340-5ec8-84e8-121552da2cda,Germany,DEU,3,3,0,0,9,0,9,6,TRUE
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,1,group stage,Group C,2,a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,3,2,0,1,6,2,4,4,TRUE
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,1,group stage,Group C,3,bb4bcbfb-67ac-5582-b11f-3e60fa83af7f,Chinese Taipei,TWN,3,1,0,2,2,8,-6,2,TRUE
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,1,group stage,Group C,4,f201a6b5-a9f6-5612-947b-a6a57d2e7e18,Nigeria,NGA,3,0,0,3,0,7,-7,0,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group A,1,eff0a856-a340-5ec8-84e8-121552da2cda,Germany,DEU,3,3,0,0,8,2,6,9,TRUE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group A,2,2179a8d7-c7ed-5c0c-b6a6-8e6eeef52657,Ecuador,ECU,3,2,0,1,5,3,2,6,TRUE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group A,3,fc0455f9-aa03-5b3d-9b41-41854289e993,Poland,POL,3,1,0,2,2,4,-2,3,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group A,4,8dd855bb-0dbb-576b-837a-ad9f8d770c86,Costa Rica,CRI,3,0,0,3,3,9,-6,0,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group B,1,43c1aac8-fa85-5e16-ba9c-4cfdcbc975b8,England,ENG,3,2,1,0,5,2,3,7,TRUE
