tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,squad_position_name,squad_position_code
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,61dc90c0-b0c1-58d1-84a5-3ca554c2b99c,Lawrence,Ashley,10,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,f2b203e0-9e09-5817-9f6f-42d702106e11,Scott,Desiree,11,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,74d45393-de34-50fd-af07-f4cce0896655,Sinclair,Christine,12,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,da37f62e-0e86-590d-829f-5ab71c02ef4a,Schmidt,Sophie,13,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,f5961245-172b-5370-9991-2f0395a91a11,Carle,Gabrielle,14,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,cce579a2-46a0-5c1c-bc26-000f9e98e2ea,Prince,Nichelle,15,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,0581b102-f093-54b9-acca-7154e21c82c4,Beckie,Janine,16,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,1ef5cdf5-7d5e-5055-b6e4-da0a7201d1d3,Fleming,Jessie,17,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,1a309bd0-07a4-5808-a907-68a45bf53075,Sheridan,Kailen,18,goal keeper,GK
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,b77c6e72-b38c-5572-8096-9694eaf2dc77,Leon,Adriana,19,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,dc799c5a-40b9-5f72-b203-43bafa821ffe,Woeller,Shannon,20,defender,DF
