tournament_id,tournament_name,team_id,team_name,team_code,manager_id,family_name,given_name,country_name
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,f16b7d5c-db54-5b27-b827-e848a3035641,Hungary,HUN,10a662a9-00c1-5d61-87d5-699df53f7ae8,Dietz,Károly,Hungary
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,c027d703-e533-524d-a335-2ea948d015fd,Cuba,CUB,25f09222-293f-5545-8981-a54b245f1f73,Tapia,José,Cuba
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,293f8e86-aef2-5fb9-bc13-e89b03c21c8f,Pozzo,Vittorio,Italy
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,fc0455f9-aa03-5b3d-9b41-41854289e993,Poland,POL,4f628d0f-6e4c-5240-8a45-5cf21d371510,Kałuża,Józef,Poland
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,c42176e0-0fb9-52e6-8d90-65b7655925a0,Dutch East Indies,IDN,662d43ec-5b42-5299-b76b-20f362a6d827,Mastenbroek,Johan,Netherlands
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,da4d79d5-3e18-54b9-916c-997fdef9a796,Romania,ROU,6fbc2802-332c-56de-85fb-6786240bd824,Rădulescu,Costel,Romania
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,7ca3e521-ca0d-517c-9a2e-9f5ed55e9ceb,Pimenta,Adhemar,Brazil
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,3aa56241-3868-505a-ac6a-753aefa79cc2,Belgium,BEL,931233fc-2866-53cb-b28f-9c7fde94d0ac,Butler,Jack,England
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,da4d79d5-3e18-54b9-916c-997fdef9a796,Romania,ROU,9aa7b4d8-77d0-5ad5-ac2d-466a3d46ac9f,Săvulescu,Alexandru,Romania
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,d522b940-a152-5cc7-bcb3-89e28a1ce459,Netherlands,NLD,a5ac037e-bb4d-5e55-b690-126984717698,Glendenning,Bob,England
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,eff0a856-a340-5ec8-84e8-121552da2cda,Germany,DEU,a92866d6-7b41-5603-b196-fe389ffe2428,Herberger,Sepp,Germany
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,187544dc-4b46-5bf6-a079-e124899a9090,Norway,NOR,ad5ffe94-db44-5e51-893c-0f8ef86402b4,Halvorsen,Asbjørn,Norway
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,cf23603f-09d6-52e6-9c7e-fb8db4554297,Czechoslovakia,CSK,cd6be7b1-9e43-524a-af3f-b3d34d0bf673,Meissner,Josef,Czechoslovakia
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,3d11f07c-c004-508d-9001-6f944119b2b0,France,FRA,d1b41d28-3741-5985-a416-33f647534ab9,Barreau,Gaston,France
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,3611e724-8c08-5f63-b63d-e1cad6af784c,Sweden,SWE,eaa18627-2fc6-558f-8cb6-e77658f1013b,Nagy,József,Hungary
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,f16b7d5c-db54-5b27-b827-e848a3035641,Hungary,HUN,fc5a6879-09c1-5954-946d-f600d83595fa,Schaffer,Alfréd,Hungary
27c90506-c75e-5fba-813d-68c0722b56bf,1938 FIFA Men's World Cup,a260026d-34b5-5fdf-8896-fd8997f096b9,Switzerland,CHE,fe236aac-31b0-5cf4-a218-017b4d3c3864,Rappan,Karl,Austria
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,1d24b08b-c7c2-5a1b-a9a7-c03537d6f8ca,Nepomnyashchy,Valery,Soviet Union
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,33ab4363-0739-540a-a8bf-5af1d586b88d,Vicini,Azeglio,Italy
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,f8764a69-de29-59f5-8e79-715c4bf88a11,Uruguay,URY,3979d791-dc59-53e5-a27d-0efa10327543,Tabárez,Óscar,Uruguay
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,fc2ce361-82ed-537a-85f1-ff8f384d11b1,Scotland,SCO,4968d830-af55-5e6b-90b1-3856346d7e8c,Roxburgh,Andy,Scotland
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,e39c6163-70b0-5f66-b2d7-540b785eee94,Republic of Ireland,IRL,4cf4a89f-ddb6-5fab-ae9d-9fe87012ba2c,Charlton,Jack,England
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,5b16dd9d-d19c-5484-bac2-f9e932dddd29,Spain,ESP,534f7051-ff51-5fd4-a9bd-6f3be09c3e28,Suárez,Luis,Spain
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,3de13983-4604-5a8d-b39c-08d4f279a06b,Colombia,COL,5929fc1c-64e3-569b-bcd7-58b6102627ee,Maturana,Francisco,Colombia
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,933a103d-d9d7-57a3-9c4a-fbc81d25a266,Argentina,ARG,5d7e511d-372a-5c7f-af80-833ac35bac4c,Bilardo,Carlos,Argentina
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,cf23603f-09d6-52e6-9c7e-fb8db4554297,Czechoslovakia,CSK,62a62362-6b55-5a4f-b037-d2bdf9781b71,Vengloš,Jozef,Czechoslovakia
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,83f65ffa-c76e-5ace-8c09-c87d141a3916,South Korea,KOR,6bffb4db-0693-52e8-93a3-47d1d142f009,Lee,Hoe-taik,South Korea
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,d499d28a-dd42-5133-8e29-23835731f4ea,Egypt,EGY,80415fb6-c05f-59ea-aa65-fe08c556fc6f,Al-Gohari,Mahmoud,Egypt
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,10913c23-6023-563d-94df-9b4fb66c3432,United States,USA,810905d3-62db-5d41-873c-f58c65d37fd8,Gansler,Bob,United States
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,43c1aac8-fa85-5e16-ba9c-4cfdcbc975b8,England,ENG,8bc2acc7-02ee-545a-8fb2-ccac0d316850,Robson,Bobby,England
