team,fifa_rank_pre_tournament,fifa_points_pre_tournament,matches_last_4y,goals_scored_last_4y,goals_received_last_4y,wins_last_4y,draws_last_4y,losses_last_4y,world_cup_participations_before,world_cup_titles_before,data_as_of,ranking_source,recent_form_source,world_cup_history_source
Gibraltar,202,820.26,37,26,94,7,5,25,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Guam,203,819.54,10,14,28,2,1,7,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Seychelles,204,804.16,21,6,71,1,1,19,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Turks and Caicos Islands,205,803.98,15,15,25,5,4,6,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Liechtenstein,206,797.7,38,9,97,2,4,32,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Bahamas,207,786.82,19,21,72,1,3,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
US Virgin Islands,208,779.76,0,0,0,0,0,0,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
British Virgin Islands,209,777.41,23,27,39,5,6,12,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Anguilla,210,760.25,21,12,63,3,2,16,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
San Marino,211,721.2,38,17,103,2,5,31,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
