match_id,match_slug,match_url,home_team,away_team,kickoff,final_score,goal_index,minute,minute_base,stoppage_minute,elapsed_minute,scorer,scoring_country,opponent_country,credited_player_country,own_goal,penalty,score_before,score_after,scoring_team_score_before,opponent_score_before,scoring_team_score_after,opponent_score_after,home_score_before,away_score_before,home_score_after,away_score_after,raw_event
4667790,belgium-vs-egypt,https://www.fotmob.com/matches/belgium-vs-egypt/2u3bhg#4667790,Belgium,Egypt,2026-06-15T19:00:00.000Z,1-1,2,66,66,0,66.0,Mohamed Hany,Belgium,Egypt,Egypt,True,False,0-1,1-1,0,1,1,1,0,1,1,1,66’ Mohamed Hany (1 - 1) Own goal 66’ 71’ Rami Rabia Emam Ashour Maxim De Cuyper 75’ 76’ Zizo Mostafa Ziko 76’ Hamza Abdelkarim Mohamed Salah Hans Vanaken Kevin De
4667799,uruguay-vs-saudi-arabia,https://www.fotmob.com/matches/uruguay-vs-saudi-arabia/1izuvb#4667799,Saudi Arabia,Uruguay,2026-06-15T22:00:00.000Z,1-1,1,41,41,0,41.0,Abdulelah Al Amri,Saudi Arabia,Uruguay,Saudi Arabia,False,False,0-0,1-0,0,0,1,0,0,0,1,0,Abdulelah Al Amri (1 - 0) 41’ Abdulelah Al Amri 44’ +4 minutes added HT 1 - 0 46’ Juan Sanabria Matías Viña 46’ Agustín Canobbio Darwin Núñez Nasser Al-Dawsari Musab
4667799,uruguay-vs-saudi-arabia,https://www.fotmob.com/matches/uruguay-vs-saudi-arabia/1izuvb#4667799,Saudi Arabia,Uruguay,2026-06-15T22:00:00.000Z,1-1,2,81,81,0,81.0,Maxi Araújo,Uruguay,Saudi Arabia,Uruguay,False,False,1-0,1-1,0,1,1,1,1,0,1,1,80’ Maxi Araújo (1 - 1) 81’ Brian Rodríguez Maxi Araújo Nawaf Al-Boushail Mohammed Abu Al Shamat 81’ 90’ Rodrigo Aguirre Federico Viñas +7 minutes added Ali Lajami
4667805,iraq-vs-norway,https://www.fotmob.com/matches/iraq-vs-norway/1oz68o#4667805,Iraq,Norway,2026-06-16T22:00:00.000Z,1-4,1,29,29,0,29.0,Erling Haaland,Norway,Iraq,Norway,False,False,0-0,0-1,0,0,1,0,0,0,0,1,29’ Erling Haaland (0 - 1) assist by David Møller Wolfe Ayman Hussein
4667805,iraq-vs-norway,https://www.fotmob.com/matches/iraq-vs-norway/1oz68o#4667805,Iraq,Norway,2026-06-16T22:00:00.000Z,1-4,2,39,39,0,39.0,Ayman Hussein,Iraq,Norway,Iraq,False,False,0-1,1-1,0,1,1,1,0,1,1,1,"29’ Erling Haaland (0 - 1) assist by David Møller Wolfe Ayman Hussein (1 - 1) Header, assist by Amir Al-Ammari 39’ 43’ Erling Haaland"
4667805,iraq-vs-norway,https://www.fotmob.com/matches/iraq-vs-norway/1oz68o#4667805,Iraq,Norway,2026-06-16T22:00:00.000Z,1-4,3,43,43,0,43.0,Erling Haaland,Norway,Iraq,Norway,False,False,1-1,1-2,1,1,2,1,1,1,1,2,43’ Erling Haaland (1 - 2) +5 minutes added HT 1 - 2 Zidane Iqbal Zaid Ismael 59’ Marko Lawk Farji Ali Al Hamadi 59’ 73’ Andreas Schjelderup Antonio Nusa 73’ Kristian
4667805,iraq-vs-norway,https://www.fotmob.com/matches/iraq-vs-norway/1oz68o#4667805,Iraq,Norway,2026-06-16T22:00:00.000Z,1-4,4,76,76,0,76.0,Leo Østigard,Norway,Iraq,Norway,False,False,1-2,1-3,2,1,3,1,1,2,1,3,"76’ Leo Østigard (1 - 3) Header, assist by Martin Ødegaard Mohanad Ali Ibrahim Bayesh 78’ 81’ Patrick Berg Martin Ødegaard Zaid Tahseen 86’ +6 minutes added 90’ +6"
4667805,iraq-vs-norway,https://www.fotmob.com/matches/iraq-vs-norway/1oz68o#4667805,Iraq,Norway,2026-06-16T22:00:00.000Z,1-4,5,90+6,90,6,96.0,Ayman Hussein,Norway,Iraq,Iraq,True,False,1-3,1-4,3,1,4,1,1,3,1,4,90’ +6 Ayman Hussein (1 - 4) Own goal
4667804,senegal-vs-france,https://www.fotmob.com/matches/senegal-vs-france/1f8fvo#4667804,France,Senegal,2026-06-16T19:00:00.000Z,3-1,1,66,66,0,66.0,Kylian Mbappé,France,Senegal,France,False,False,0-0,1-0,0,0,1,0,0,0,1,0,+6 minutes added HT 0 - 0 Kylian Mbappé (1 - 0) assist by Michael Olise 66’ 75’ Ibrahim Mbaye Ismaïla Sarr 75’ Habib Diarra Lamine Camara Bradley Barcola Ousmane Dembélé 80’ Bradley Barco
4667804,senegal-vs-france,https://www.fotmob.com/matches/senegal-vs-france/1f8fvo#4667804,France,Senegal,2026-06-16T19:00:00.000Z,3-1,2,82,82,0,82.0,Bradley Barcola,France,Senegal,France,False,False,1-0,2-0,1,0,2,0,1,0,2,0,80’ Bradley Barcola (2 - 0) assist by Adrien Rabiot 82’ 83’ Bamba Dieng Nicolas Jackson 83’ Iliman Ndiaye Pape Gueye Rayan Cherki Désiré Doué 87’ 88’ Pathé Ciss Idriss
