team,fifa_version,gk,def,mid,att,top11_overall,squad_overall,star_power,depth,value_log,avg_age_top11,n_players
Egypt,16,72.0,68.5,72.33333333333333,76.0,71.9090909090909,71.9090909090909,76.33333333333333,71.9090909090909,17.19309810811699,26.181818181818183,11
Ecuador,16,72.0,69.25,71.0,75.33333333333333,71.63636363636364,71.63636363636364,76.66666666666667,71.63636363636364,17.05927413735703,27.545454545454547,11
South Africa,16,78.0,73.25,73.75,66.0,73.0909090909091,73.0909090909091,76.33333333333333,73.0909090909091,17.418287340272755,25.363636363636363,11
Northern Ireland,16,69.0,71.75,71.5,70.5,71.18181818181819,71.18181818181819,76.33333333333333,71.18181818181819,16.92345486681793,29.0,11
New Zealand,16,66.0,69.0,68.66666666666667,70.5,68.0909090909091,68.0909090909091,73.66666666666667,68.0909090909091,16.760475767068503,24.272727272727273,11
Paraguay,16,71.0,73.25,73.33333333333333,74.33333333333333,73.36363636363636,73.36363636363636,75.0,73.36363636363636,16.920097281273396,27.727272727272727,11
Bulgaria,16,66.0,68.5,72.0,67.0,69.18181818181819,69.18181818181819,73.66666666666667,69.18181818181819,16.34523130322334,28.818181818181817,11
Australia,16,78.0,70.5,71.66666666666667,71.66666666666667,71.81818181818181,71.81818181818181,75.66666666666667,71.81818181818181,17.013162787238866,26.454545454545453,11
Romania,16,75.0,74.25,74.5,71.0,73.81818181818181,73.81818181818181,76.66666666666667,73.81818181818181,17.175885979828397,28.454545454545453,11
Scotland,16,75.0,72.0,74.75,76.0,73.0909090909091,73.0909090909091,76.0,73.0909090909091,17.294440319007183,28.90909090909091,11
Norway,16,73.0,72.5,73.75,70.0,72.45454545454545,72.45454545454545,75.33333333333333,72.45454545454545,17.293669011626754,24.90909090909091,11
Bolivia,16,63.0,65.75,67.5,75.0,66.45454545454545,66.45454545454545,71.66666666666667,66.45454545454545,14.557448378884015,28.181818181818183,11
China PR,16,75.0,66.5,68.5,72.0,69.0,69.0,73.0,69.0,0.0,26.818181818181817,11
